CNESource,Codigo,Nombre,Categoria,Tecnologia,Estado,FechaInst,FechaSusp,Altitud,LatDD,LongDD,Depto,Municipio,AreaOperat,Entidad,AH,ZH,SZH,Corriente,Observ,Subred
CNE_OE,35070430,GARAGOA  [35070430],Pluviométrica,Convencional,Suspendida,15/08/1935,15/12/1955,1850,"5.0833333329999997","-73.333333330000002",Boyacá,Garagoa,Area Operativa 06 - Boyacá-Casanare-Vichada,MINISTERIO DE AGRICULTURA,Orinoco,Meta,Río Garagoa,,,
CNE_OE,35070440,JENESANO  [35070440],Pluviométrica,Convencional,Suspendida,15/06/1935,15/12/1945,2200,"5.4","-73.383333329999999",Boyacá,Jenesano,Area Operativa 06 - Boyacá-Casanare-Vichada,MINISTERIO DE AGRICULTURA,Orinoco,Meta,Río Garagoa,,,
CNE_OE,35070580,RAMIRIQUI  - AUT  [35070580],Pluviográfica,Automática con Telemetría,Activa,"01/07/2008",,2360,"5.4","-73.333333330000002",Boyacá,Ramiriquí,Area Operativa 06 - Boyacá-Casanare-Vichada,CORPORACIÓN AUTÓNOMA REGIONAL DE CHIVOR,Orinoco,Meta,Río Garagoa,,,
CNE_OE,35070590,CHIVOR MACHETA  [35070590],Pluviográfica,Convencional,Activa,"01/07/2008",,1815,"5.0833333329999997","-73.583333330000002",Cundinamarca,Machetá,Area Operativa 06 - Boyacá-Casanare-Vichada,CORPORACIÓN AUTÓNOMA REGIONAL DE CHIVOR,Orinoco,Meta,Río Garagoa,,,
CNE_OE,35071001,TEATINO  - AUT  [35071001],Limnigráfica,Automática con Telemetría,Activa,,,2288,"5.4215555560000004","-73.540194443999994",Boyacá,Samacá,Area Operativa 06 - Boyacá-Casanare-Vichada,CORPORACIÓN AUTÓNOMA REGIONAL DE CHIVOR,Orinoco,Meta,Río Garagoa,Teatinos,"Corrección de georreferenciación por solicitud del coordinador del área operativa 06 vía correo electrónico|11/08/2025$mvelez$Se cambia la entidad a CORPORACIÓN AUTÓNOMA REGIONAL DE CHIVOR ya que la estación pertenece a la corporación y no al instituto,  solicitud realizada mediante correo electrónico 06/08/2025 con aprobación del grupo de automatización 08/08/2025.",
CNE_OE,35071002,CAMOYO  - AUT  [35071002],Limnigráfica,Automática con Telemetría,Activa,13/01/2016,,1327,"4.9045305560000001","-73.322588890000006",Boyacá,Chivor,Area Operativa 06 - Boyacá-Casanare-Vichada,CORPORACIÓN AUTÓNOMA REGIONAL DE CHIVOR,Orinoco,Meta,Río Garagoa,,,
CNE_OE,35075060,TEATINOS  [35075060],Climatológica Ordinaria,Convencional,Activa,15/11/1997,,3210,"5.4","-73.533333330000005",Boyacá,Tunja,Area Operativa 06 - Boyacá-Casanare-Vichada,ESTACIONES PARTICULARES,Orinoco,Meta,Río Garagoa,,,
CNE_OE,35075090,MACHETA - AUT [35075090],Climatológica Principal,Automática con Telemetría,Activa,"01/06/2005",,2669,"5.0833333329999997","-73.650000000000006",Cundinamarca,Machetá,Area Operativa 11 - Cundinamarca-Amazonas,CORPORACION AUTONOMA REGIONAL DE CUNDINAMARCA,Orinoco,Meta,Río Garagoa,,,
CNE_OE,35075100,CIENAGA CENTRO [35075100],Climatológica Principal,Automática con Telemetría,Activa,"01/01/2017",,2483,"5.4119916669999997","-73.300927778000002",Boyacá,Ciénega,Area Operativa 06 - Boyacá-Casanare-Vichada,CORPORACIÓN AUTÓNOMA REGIONAL DE CHIVOR,Orinoco,Meta,Río Garagoa,,|26/08/2025$mvelez$Se recrea la estación por que estaba duplicada bajo memorando 20243000077751,
CNE_OE,35075501,MANTA  - AUT  [35075501],Climatológica Principal,Automática con Telemetría,Activa,,,2,"4.9981666669999996","-73.552277779999997",Cundinamarca,Manta,Area Operativa 11 - Cundinamarca-Amazonas,CORPORACION AUTONOMA REGIONAL DE CUNDINAMARCA,Orinoco,Meta,Río Garagoa,,,
